web_scraper_order,web_scraper_start_url,pagination,data,data2,rating,data3,data4,price,data12,data17
"1786479722-21","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2023 Aion Y Plus (ปี 23-29) 490 Elite SUV - 0.0","⭐️ฟรีดาวน์ ออกรถ 0 บาท ฟรี ทำสัญญาถึงหน้าบ้าน ⭐️ฟรี ! ขนส่งถึงบ้าน ...","","0 - 5K กม.","กรุงเทพมหานคร","475,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479722-22","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2023 Toyota YARIS 1.2 (ปี 17-25) Sport Hatchback","⭐️ฟรีดาวน์ ออกรถ 0 บาท ฟรี ทำสัญญาถึงหน้าบ้าน ⭐️ฟรี ! ขนส่งถึงบ้าน ...","Toyota YARIS","45 - 50K กม.","กรุงเทพมหานคร","398,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479722-23","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2020 Mazda CX-8 2.5 (ปี 19-26) SP SUV","MAZDA CX8 2.5 SP 2020 รถสวยไมล์แท้ 90,000 กว่ากิโลเมตร ประหยัดเป็นล้าน!!! รถ 7ที่นั่ง ...","","95 - 100K กม.","กรุงเทพมหานคร","","","เกียร์อัตโนมัติ"
"1786479722-24","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2015 Honda MOBILIO 1.5 (ปี 14-17) V Wagon","⭐️ฟรีดาวน์ ออกรถ 0 บาท ฟรี ทำสัญญาถึงหน้าบ้าน ⭐️ฟรี ! ขนส่งถึงบ้าน ...","Honda MOBILIO","145 - 150K กม.","กรุงเทพมหานคร","219,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479722-25","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2018 Suzuki Ciaz 1.2 (ปี 15-25) GL Sedan","⭐️ฟรีดาวน์ ออกรถ 0 บาท ฟรี ทำสัญญาถึงหน้าบ้าน ⭐️ฟรี ! ขนส่งถึงบ้าน ...","Suzuki Ciaz","0 - 5K กม.","กรุงเทพมหานคร","168,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479722-26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2024 Mitsubishi ATTRAGE 1.2 (ปี 19-26) Active Sedan","⭐️ฟรีดาวน์ ออกรถ 0 บาท ฟรี ทำสัญญาถึงหน้าบ้าน ⭐️ฟรี ! ขนส่งถึงบ้าน ...","Mitsubishi ATTRAGE","10 - 15K กม.","กรุงเทพมหานคร","333,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479722-27","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2018 Ford RANGER 2.0 Double Cab (ปี 15-21) WildTrak Hi-Rid...","⭐️ฟรีดาวน์ ออกรถ 0 บาท ฟรี ทำสัญญาถึงหน้าบ้าน ⭐️ฟรี ! ขนส่งถึงบ้าน ...","Ford RANGER","175 - 180K กม.","กรุงเทพมหานคร","369,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479722-28","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2021 Mazda 2 1.3 (ปี 15-25) S Sports Hatchback","⭐️ฟรีดาวน์ ออกรถ 0 บาท ฟรี ทำสัญญาถึงหน้าบ้าน ⭐️ฟรี ! ขนส่งถึงบ้าน ...","Mazda 2","195 - 200K กม.","กรุงเทพมหานคร","299,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479722-29","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2021 MG MG5 1.5 (ปี 21-26) X Sedan - 5","⭐️ฟรีดาวน์ ออกรถ 0 บาท ฟรี ทำสัญญาถึงหน้าบ้าน ⭐️ฟรี ! ขนส่งถึงบ้าน ...","MG MG5","45 - 50K กม.","กรุงเทพมหานคร","355,000 บาท","มือสอง","เกียร์อัตโนมัติ"
"1786479722-30","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=51&page_size=26","https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?type=used&page_number=52&page_size=26","2021 Audi Q3 1.4 (ปี 19-25) 35 TFSI S line SUV","AUDI Q3 1.4 35 TFSI S line ปี2021 รถมือเดียวออก เช็คศูนย์ตลอด บอดี้เดิมทั้งคัน ☆ ...","","90 - 95K กม.","กรุงเทพมหานคร","","","เกียร์อัตโนมัติ"
