listing_id,car_key,date_key,location_key,ask_price,mileage,car_age
1810,686,20260918,33,1059000.0,182500,4
1811,365,20260228,33,619000.0,202500,4
1812,642,20250613,33,619000.0,202500,4
1813,687,20240409,33,859000.0,117500,6
1814,271,20260830,33,459000.0,182500,5
1815,688,20261011,33,459000.0,182500,5
1816,689,20240504,33,899000.0,172500,6
1817,14,20261011,33,799000.0,107500,4
1818,456,20250602,33,799000.0,107500,4
1819,66,20240123,33,369000.0,77500,4
1820,690,20240610,33,275000.0,237500,7
1821,758,20250920,33,275000.0,237500,7
1822,1214,20250520,33,275000.0,237500,7
1823,41,20260531,33,699000.0,132500,7
1824,122,20261110,33,735000.0,207500,9
1825,691,20250427,33,499000.0,157500,5
1826,241,20241104,33,859000.0,122500,6
1827,14,20260523,33,719000.0,127500,4
1828,456,20240721,33,719000.0,127500,4
1829,375,20251001,33,599000.0,47500,2
1830,692,20240521,33,999000.0,122500,10
1831,693,20260930,33,899000.0,122500,5
1832,1262,20250906,33,899000.0,122500,5
1833,687,20240416,33,799000.0,92500,6
1834,194,20250612,33,899000.0,10646,6
1835,259,20250729,33,899000.0,10646,6
1836,141,20260826,33,959000.0,36395,5
1837,322,20251118,33,959000.0,36395,5
1838,324,20241017,33,979000.0,99125,3
1839,455,20260315,33,979000.0,99125,3
1840,38,20251029,33,959000.0,100549,4
1841,321,20250119,33,959000.0,100549,4
1842,194,20261212,33,959000.0,75194,6
1843,259,20251201,33,959000.0,75194,6
1844,694,20240113,33,489000.0,102500,13
1845,141,20260817,33,1020000.0,103096,5
1846,322,20240608,33,1020000.0,103096,5
1847,324,20250718,33,959000.0,84778,3
1848,455,20240108,33,959000.0,84778,3
1849,325,20240312,33,1150000.0,9412,1
1850,599,20260610,33,1150000.0,9412,1
1851,144,20240407,33,249000.0,12500,7
1852,596,20240327,33,249000.0,12500,7
1853,324,20240410,33,999000.0,61993,3
1854,455,20241007,33,999000.0,61993,3
1855,314,20260601,33,749000.0,102500,8
1856,695,20260118,33,749000.0,102500,8
1857,324,20240714,33,829000.0,113516,3
1858,455,20250125,33,829000.0,113516,3
1859,38,20250831,33,859000.0,62565,4
1860,321,20250325,33,859000.0,62565,4
1861,141,20240430,33,1050000.0,113449,5
1862,322,20241127,33,1050000.0,113449,5
1863,38,20261211,33,999000.0,170728,4
1864,321,20241113,33,999000.0,170728,4
1865,38,20251105,33,1290000.0,39134,4
1866,321,20251202,33,1290000.0,39134,4
1867,50,20251123,33,497000.0,172500,8
1868,105,20261013,33,497000.0,172500,8
1869,14,20240121,33,799000.0,176621,4
1870,456,20250202,33,799000.0,176621,4
1871,14,20240720,33,859000.0,160995,4
1872,456,20250410,33,859000.0,160995,4
1873,65,20260614,33,699000.0,22500,2
1874,511,20241105,33,959000.0,136043,3
1875,14,20250518,33,879000.0,169541,4
1876,456,20240126,33,879000.0,169541,4
1877,224,20240306,33,699000.0,42500,2
1878,696,20240919,33,597000.0,147500,7
1879,45,20250416,33,799000.0,118553,7
1880,316,20240615,33,729000.0,85984,5
1881,697,20260310,33,529000.0,62500,5
1882,723,20241208,33,529000.0,62500,5
1883,316,20251218,33,759000.0,108158,5
1884,135,20250216,33,447000.0,192500,7
1885,698,20261022,33,447000.0,192500,7
1886,699,20251117,33,579000.0,27500,5
1887,883,20260307,33,579000.0,27500,5
1888,524,20250427,33,479000.0,27500,2
1889,24,20261121,33,599000.0,46335,3
1890,1034,20240115,33,599000.0,46335,3
1891,35,20240117,33,847000.0,197500,3
1892,533,20250617,33,847000.0,197500,3
1893,25,20240321,33,697000.0,192500,8
1894,418,20251017,33,697000.0,192500,8
1895,846,20250311,33,697000.0,192500,8
1896,498,20261028,33,529000.0,176289,5
1897,84,20261015,33,697000.0,167500,5
1898,341,20251109,33,697000.0,167500,5
1899,498,20260218,33,559000.0,170928,5
1900,340,20240704,33,897000.0,157500,4
1901,344,20250225,33,897000.0,157500,4
1902,20,20250410,33,1047000.0,137500,3
1903,134,20240323,33,1047000.0,137500,3
1904,64,20250720,33,829000.0,30134,3
1905,1266,20251004,33,829000.0,30134,3
1906,12,20241120,33,659000.0,57996,5
1907,226,20240220,33,659000.0,57996,5
1908,700,20261116,33,859000.0,15233,1
1909,12,20251107,33,459000.0,171535,5
1910,226,20260907,33,459000.0,171535,5
1911,138,20260303,33,559000.0,110341,4
1912,328,20261221,33,559000.0,110341,4
1913,12,20251018,33,479000.0,54512,5
1914,226,20240426,33,479000.0,54512,5
1915,214,20261024,33,459000.0,58372,6
1916,667,20261225,33,459000.0,58372,6
1917,71,20261219,33,1590000.0,146929,6
1918,701,20260623,33,559000.0,170393,11
1919,956,20250516,33,559000.0,170393,11
1920,127,20260309,33,829000.0,39183,4
1921,37,20260506,33,659000.0,102718,5
1922,473,20240309,33,559000.0,13607,4
1923,1188,20251025,33,559000.0,13607,4
1924,702,20260302,33,659000.0,36840,3
1925,703,20240808,33,759000.0,20857,1
1926,535,20261006,33,539000.0,122011,6
1927,854,20240810,33,539000.0,122011,6
1928,337,20251107,33,319000.0,47500,5
1929,526,20240729,33,319000.0,47500,5
1930,297,20260719,33,529000.0,158416,9
1931,1105,20260604,33,529000.0,158416,9
1932,704,20260531,33,459000.0,100238,8
1933,705,20240918,33,959000.0,25687,1
1934,788,20250601,33,959000.0,25687,1
1935,60,20260308,33,859000.0,84729,4
1936,610,20261222,33,859000.0,84729,4
1937,340,20250623,33,959000.0,129313,4
1938,344,20250220,33,959000.0,129313,4
1939,88,20240222,33,759000.0,94336,5
1940,88,20240207,33,779000.0,60188,5
1941,175,20241103,33,559000.0,104328,9
1942,582,20260425,33,559000.0,104328,9
1943,434,20260616,33,799000.0,136328,6
1944,706,20240222,33,1100000.0,80959,2
1945,334,20250828,33,699000.0,113311,4
1946,48,20250327,33,859000.0,46409,2
1947,279,20250405,33,699000.0,20022,8
1948,611,20260213,33,699000.0,20022,8
1949,53,20250129,33,459000.0,13989,5
1950,56,20261126,33,429000.0,34870,2
1951,219,20261028,33,429000.0,34870,2
1952,92,20251008,33,629000.0,60383,7
1953,20,20240919,33,1050000.0,39599,3
1954,134,20250923,33,1050000.0,39599,3
1955,20,20250613,33,1290000.0,53938,3
1956,134,20241027,33,1290000.0,53938,3
1957,343,20250429,33,1390000.0,28451,2
1958,714,20240401,33,1390000.0,28451,2
1959,20,20241110,33,1230000.0,59474,3
1960,134,20260802,33,1230000.0,59474,3
1961,20,20240825,33,1100000.0,55679,3
1962,134,20240323,33,1100000.0,55679,3
1963,20,20251030,33,999000.0,122941,3
1964,134,20240626,33,999000.0,122941,3
1965,340,20240906,33,1250000.0,31914,4
1966,344,20260203,33,1250000.0,31914,4
1967,84,20251028,33,799000.0,45978,5
1968,341,20260621,33,799000.0,45978,5
1969,707,20240331,33,459000.0,227500,12
1970,1086,20241204,33,459000.0,227500,12
1971,1121,20240617,33,459000.0,227500,12
1972,708,20250731,33,519000.0,112500,9
1973,498,20260218,33,559000.0,227500,5
1974,337,20240618,33,369000.0,52500,5
1975,526,20241227,33,369000.0,52500,5
1976,370,20240831,33,559000.0,147500,8
1977,365,20240517,33,990000.0,67500,4
1978,642,20261117,33,990000.0,67500,4
1979,92,20250602,33,729000.0,45539,7
1980,266,20241128,33,659000.0,112500,6
1981,375,20260822,33,599000.0,52500,2
1982,709,20250716,33,535000.0,137500,8
1983,550,20250301,33,719000.0,97500,7
1984,626,20251002,33,159000.0,257500,16
1985,710,20251209,33,359000.0,232500,15
1986,161,20240416,33,419000.0,22500,3
1987,362,20250713,33,599000.0,102500,4
1988,711,20240517,33,659000.0,237500,12
1989,330,20250906,33,1450000.0,187500,7
1990,712,20240216,33,1490000.0,137500,5
1991,523,20250102,33,375000.0,127500,10
1992,1063,20240106,33,375000.0,127500,10
1993,497,20250606,33,575000.0,77500,9
1994,713,20250612,33,575000.0,77500,9
1995,343,20240306,33,959000.0,79862,2
1996,714,20250223,33,959000.0,79862,2
1997,715,20260722,33,699000.0,267500,10
1998,343,20250512,33,1100000.0,8342,2
1999,714,20241126,33,1100000.0,8342,2
2000,716,20260206,33,1090000.0,197500,5
2001,20,20260927,33,799000.0,221199,3
2002,134,20250613,33,799000.0,221199,3
2003,280,20240830,33,619000.0,112500,5
2004,717,20241215,33,1090000.0,122500,5
2005,718,20261106,33,485000.0,82500,7
2006,365,20260104,33,699000.0,137500,4
2007,642,20260531,33,699000.0,137500,4
2008,684,20241228,33,459000.0,92500,3
2009,299,20261011,33,649000.0,112500,5
2010,281,20250608,33,585000.0,152500,4
2011,138,20260410,33,419000.0,152500,4
2012,328,20260220,33,419000.0,152500,4
2013,719,20250223,33,899000.0,57500,5
2014,281,20260224,33,599000.0,107500,4
2015,33,20240512,33,399000.0,187500,11
2016,138,20240114,33,619000.0,67500,4
2017,328,20261203,33,619000.0,67500,4
2018,437,20241021,33,859000.0,82500,8
2019,45,20250320,33,635000.0,137500,7
2020,508,20261221,33,759000.0,147500,3
2021,246,20250215,33,899000.0,127500,4
2022,138,20250921,33,675000.0,112500,4
2023,328,20241116,33,675000.0,112500,4
2024,620,20260328,33,899000.0,117500,6
2025,1271,20260623,33,899000.0,117500,6
2026,720,20240205,33,459000.0,162500,13
2027,239,20260301,33,990000.0,177500,9
2028,615,20250808,33,990000.0,177500,9
2029,672,20241101,33,1090000.0,82500,3
2030,721,20261004,33,1090000.0,82500,3
2031,153,20260611,33,419000.0,127500,7
2032,1269,20240112,33,419000.0,127500,7
2033,246,20240323,33,859000.0,57500,4
2034,722,20261121,33,375000.0,127500,9
2035,665,20260814,33,859000.0,92500,6
2036,280,20251213,33,599000.0,137500,5
2037,316,20240828,33,669000.0,102500,5
2038,77,20260616,33,659000.0,127500,8
2039,119,20260614,33,859000.0,51735,3
2040,351,20260625,33,859000.0,51735,3
2041,124,20260125,33,799000.0,40378,4
2042,349,20261021,33,799000.0,40378,4
2043,1169,20250823,33,799000.0,40378,4
2044,124,20241008,33,829000.0,97250,4
2045,349,20251012,33,829000.0,97250,4
2046,1169,20250821,33,829000.0,97250,4
2047,350,20260905,33,899000.0,27434,2
2048,697,20261008,33,379000.0,92592,5
2049,723,20260618,33,379000.0,92592,5
2050,724,20260612,33,699000.0,36,1
2051,725,20260814,33,529000.0,163105,9
2052,550,20240806,33,759000.0,152299,7
2053,726,20251227,33,1150000.0,77924,3
2054,727,20261005,33,899000.0,119455,4
2055,775,20250601,33,899000.0,119455,4
2056,728,20260322,33,899000.0,131822,8
2057,356,20250516,33,1450000.0,135949,3
2058,676,20240227,33,1290000.0,117461,5
